depth,snr_db,trial,truth_msg,decoded_msg,correct
1,-1,7,CQ K1JT FN20,,0
2,-1,7,CQ K1JT FN20,,0
1,-1,8,CQ K1JT FN20,,0
2,-1,8,CQ K1JT FN20,,0
1,-1,9,CQ K1JT FN20,,0
2,-1,9,CQ K1JT FN20,,0
1,-1,10,CQ K1JT FN20,,0
2,-1,10,CQ K1JT FN20,,0
1,-1,11,CQ K1JT FN20,,0
2,-1,11,CQ K1JT FN20,,0
1,-1,12,CQ K1JT FN20,,0
2,-1,12,CQ K1JT FN20,,0
1,-1,13,CQ K1JT FN20,,0
2,-1,13,CQ K1JT FN20,,0
1,-1,14,CQ K1JT FN20,,0
2,-1,14,CQ K1JT FN20,,0
1,-1,15,CQ K1JT FN20,,0
2,-1,15,CQ K1JT FN20,,0
1,-1,16,CQ K1JT FN20,,0
2,-1,16,CQ K1JT FN20,,0
1,-1,17,CQ K1JT FN20,,0
2,-1,17,CQ K1JT FN20,,0
1,-1,18,CQ K1JT FN20,,0
2,-1,18,CQ K1JT FN20,,0
1,-1,19,CQ K1JT FN20,,0
2,-1,19,CQ K1JT FN20,,0
1,-1,20,CQ K1JT FN20,,0
2,-1,20,CQ K1JT FN20,,0
1,-1,21,CQ K1JT FN20,,0
2,-1,21,CQ K1JT FN20,,0
1,-1,22,CQ K1JT FN20,,0
2,-1,22,CQ K1JT FN20,,0
1,-1,23,CQ K1JT FN20,,0
2,-1,23,CQ K1JT FN20,,0
1,-1,24,CQ K1JT FN20,,0
2,-1,24,CQ K1JT FN20,,0
1,-1,25,CQ K1JT FN20,,0
2,-1,25,CQ K1JT FN20,,0
1,-1,26,CQ K1JT FN20,,0
2,-1,26,CQ K1JT FN20,,0
1,-1,27,CQ K1JT FN20,,0
2,-1,27,CQ K1JT FN20,,0
1,-1,28,CQ K1JT FN20,,0
2,-1,28,CQ K1JT FN20,,0
1,-1,29,CQ K1JT FN20,,0
2,-1,29,CQ K1JT FN20,,0
1,0,0,CQ K1JT FN20,,0
2,0,0,CQ K1JT FN20,,0
1,0,1,CQ K1JT FN20,,0
2,0,1,CQ K1JT FN20,,0
1,0,2,CQ K1JT FN20,,0
2,0,2,CQ K1JT FN20,,0
1,0,3,CQ K1JT FN20,,0
2,0,3,CQ K1JT FN20,,0
1,0,4,CQ K1JT FN20,,0
2,0,4,CQ K1JT FN20,,0
1,0,5,CQ K1JT FN20,,0
2,0,5,CQ K1JT FN20,,0
1,0,6,CQ K1JT FN20,,0
2,0,6,CQ K1JT FN20,,0
1,0,7,CQ K1JT FN20,,0
2,0,7,CQ K1JT FN20,,0
1,0,8,CQ K1JT FN20,,0
2,0,8,CQ K1JT FN20,,0
1,0,9,CQ K1JT FN20,,0
2,0,9,CQ K1JT FN20,,0
1,0,10,CQ K1JT FN20,,0
2,0,10,CQ K1JT FN20,,0
1,0,11,CQ K1JT FN20,,0
2,0,11,CQ K1JT FN20,,0
1,0,12,CQ K1JT FN20,,0
2,0,12,CQ K1JT FN20,,0
1,0,13,CQ K1JT FN20,,0
2,0,13,CQ K1JT FN20,,0
1,0,14,CQ K1JT FN20,,0
2,0,14,CQ K1JT FN20,,0
1,0,15,CQ K1JT FN20,,0
2,0,15,CQ K1JT FN20,,0
1,0,16,CQ K1JT FN20,,0
